"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 17:45:14 CST 2024","Fri Jun 14 17:45:16 CST 2024","1618","case","test_qq","TestQq","","","test_qq_level[qqdata0]",""
"passed","Fri Jun 14 17:45:09 CST 2024","Fri Jun 14 17:45:09 CST 2024","330","case","test_baidu","TestBaidu","","","test_baidu_login[baidu_data1]",""
"passed","Fri Jun 14 17:45:26 CST 2024","Fri Jun 14 17:45:27 CST 2024","911","case","test_taobao","TestTaobao","","","test_qq_level[taobaodata1]",""
"passed","Fri Jun 14 17:45:11 CST 2024","Fri Jun 14 17:45:13 CST 2024","1384","case","test_music","TestMusic","","","test_music_play[musicdata1]",""
"passed","Fri Jun 14 17:45:08 CST 2024","Fri Jun 14 17:45:09 CST 2024","865","case","test_baidu","TestBaidu","","","test_baidu_login[baidu_data0]",""
"passed","Fri Jun 14 17:45:23 CST 2024","Fri Jun 14 17:45:24 CST 2024","614","case","test_sougou","TestSouGou","","","test_qq_level[sougoudata1]",""
"passed","Fri Jun 14 17:45:09 CST 2024","Fri Jun 14 17:45:10 CST 2024","426","case","test_baidu","TestBaidu","","","test_baidu_login[baidu_data2]",""
"passed","Fri Jun 14 17:45:16 CST 2024","Fri Jun 14 17:45:17 CST 2024","1346","case","test_qq","TestQq","","","test_qq_level[qqdata1]",""
"passed","Fri Jun 14 17:45:24 CST 2024","Fri Jun 14 17:45:25 CST 2024","681","case","test_sougou","TestSouGou","","","test_qq_level[sougoudata2]",""
"passed","Fri Jun 14 17:45:18 CST 2024","Fri Jun 14 17:45:20 CST 2024","1861","case","test_qq","TestQq","","","test_qq_talk[qqtalkdata0]",""
"passed","Fri Jun 14 17:45:22 CST 2024","Fri Jun 14 17:45:23 CST 2024","1099","case","test_sougou","TestSouGou","","","test_qq_level[sougoudata0]",""
"passed","Fri Jun 14 17:45:27 CST 2024","Fri Jun 14 17:45:28 CST 2024","1360","case","test_taobao","TestTaobao","","","test_qq_level[taobaodata2]",""
"passed","Fri Jun 14 17:45:17 CST 2024","Fri Jun 14 17:45:18 CST 2024","1348","case","test_qq","TestQq","","","test_qq_level[qqdata2]",""
"passed","Fri Jun 14 17:45:21 CST 2024","Fri Jun 14 17:45:22 CST 2024","1021","case","test_qq","TestQq","","","test_qq_talk[qqtalkdata2]",""
"passed","Fri Jun 14 17:45:10 CST 2024","Fri Jun 14 17:45:11 CST 2024","1690","case","test_music","TestMusic","","","test_music_play[musicdata0]",""
"passed","Fri Jun 14 17:45:13 CST 2024","Fri Jun 14 17:45:14 CST 2024","1265","case","test_music","TestMusic","","","test_music_play[musicdata2]",""
"passed","Fri Jun 14 17:45:20 CST 2024","Fri Jun 14 17:45:21 CST 2024","979","case","test_qq","TestQq","","","test_qq_talk[qqtalkdata1]",""
"passed","Fri Jun 14 17:45:25 CST 2024","Fri Jun 14 17:45:26 CST 2024","1090","case","test_taobao","TestTaobao","","","test_qq_level[taobaodata0]",""
